event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,10.769651248614764,0.015,1,1911-1920,consecutive
1,1911-1920,1941-1950,8.819555751629128,0.029,3,"1921-1930,1931-1940,1941-1950",sudden_shift
2,1911-1920,1971-1980,9.665717960560178,0.002,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1911-1920,1981-1990,10.255796672151488,0.005,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
4,1911-1920,1991-2000,9.210413256095988,0.0,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
5,1911-1920,2001-2010,8.95419582629379,0.019,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1911-1920,2011-2018,9.947489640643393,0.0,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1921-1930,1971-1980,8.8151523974444,0.032,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
8,1921-1930,1991-2000,8.067544281575033,0.034,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1921-1930,2011-2018,9.964503581780006,0.006,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
10,1931-1940,1991-2000,7.790995467615772,0.043,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
11,1951-1960,2011-2018,8.368667990188785,0.035,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
