,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,0.241,0.075,0.033,0.219,0.204,0.185
1911-1920,0.241,0.0,0.671,0.237,0.093,0.469,0.749
1921-1930,0.075,0.671,0.0,0.439,0.103,0.278,1.0
1931-1940,0.033,0.237,0.439,0.0,0.215,0.209,0.58
1941-1950,0.219,0.093,0.103,0.215,0.0,1.0,1.0
1951-1960,0.204,0.469,0.278,0.209,1.0,0.0,1.0
1991-2000,0.185,0.749,1.0,0.58,1.0,1.0,0.0
