event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,1951-1960,30.19241167639047,0.03,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
1,1911-1920,1961-1970,28.409386635004765,0.049,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
2,1911-1920,1971-1980,31.41397110757556,0.015,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1911-1920,1981-1990,37.01190953837015,0.002,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
4,1911-1920,2001-2010,32.52822409106048,0.007,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,1971-1980,30.248023846444763,0.034,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
6,1921-1930,1981-1990,36.81377313764277,0.009,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
7,1921-1930,2001-2010,31.866785736484612,0.017,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1931-1940,1981-1990,30.53835911436153,0.016,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
9,1941-1950,1981-1990,30.362518307546047,0.008,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
10,1961-1970,1981-1990,26.59905016621308,0.036,2,"1971-1980,1981-1990",sudden_shift
