timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1981-1990,7,37.01190953837015,0.002
1911-1920,2001-2010,9,32.52822409106048,0.007
1941-1950,1981-1990,4,30.362518307546047,0.008
1921-1930,1981-1990,6,36.81377313764277,0.009
1911-1920,1971-1980,6,31.41397110757556,0.015
1931-1940,1981-1990,5,30.53835911436153,0.016
1921-1930,2001-2010,8,31.866785736484612,0.017
1911-1920,1951-1960,4,30.19241167639047,0.03
1921-1930,1971-1980,5,30.248023846444763,0.034
1961-1970,1981-1990,2,26.59905016621308,0.036
1911-1920,1961-1970,5,28.409386635004765,0.049
