lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
stammbuch,s10937,True,0.256,False,True,25,11.624445469331269,0.0,4,3,14,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-largeWSD/lexemes/stammbuch/s10937,1024.0,True
schnabel,s25993,True,0.104,False,True,11,8.846638602519649,0.0,1,1,10,consecutive,1931-1940,results/gbert-largeWSD/lexemes/schnabel/s25993,1024.0,True
schnabel,s26449,True,0.238,False,True,6,7.742189832923152,0.019,3,1,8,consecutive,"1911-1920,1921-1930,1951-1960",results/gbert-largeWSD/lexemes/schnabel/s26449,1024.0,True
atmosphäre,s42158,True,0.244,False,True,14,10.415209366948485,0.001,4,7,13,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",results/gbert-largeWSD/lexemes/atmosphäre/s42158,1024.0,True
atmosphäre,s14251,True,0.853,False,True,14,8.086275554569179,0.007,14,10,10,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-largeWSD/lexemes/atmosphäre/s14251,1024.0,True
atmosphäre,s33676,True,0.439,False,True,1,13.416813504969957,0.029,1,4,2,sudden_shift,"1971-1980,1981-1990,1991-2000,2011-2018",results/gbert-largeWSD/lexemes/atmosphäre/s33676,1024.0,True
atmosphäre,s42868,True,0.125,False,True,23,7.829018597989146,0.0,8,7,17,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-largeWSD/lexemes/atmosphäre/s42868,1024.0,True
diarium,s10919,True,0.003,True,True,33,12.296725394985756,0.0,6,11,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/gbert-largeWSD/lexemes/diarium/s10919,1024.0,True
kasse,s74827,True,0.325,False,True,18,8.338596033531372,0.0,6,3,14,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/gbert-largeWSD/lexemes/kasse/s74827,1024.0,True
kasse,s74907,True,0.453,False,True,5,8.799936219053532,0.015,5,9,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/gbert-largeWSD/lexemes/kasse/s74907,1024.0,True
