,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.137,0.451,0.128,0.196,0.216,0.706,0.803,0.18,0.173,0.007,0.019
1911-1920,0.137,0.0,0.39,0.803,0.317,0.347,0.044,0.179,0.045,0.053,0.003,0.087
1921-1930,0.451,0.39,0.0,0.194,0.836,0.605,0.356,0.667,0.066,0.107,0.014,0.132
1931-1940,0.128,0.803,0.194,0.0,0.257,0.374,0.077,0.191,0.172,0.142,0.012,0.146
1941-1950,0.196,0.317,0.836,0.257,0.0,0.656,0.209,0.446,0.04,0.091,0.001,0.072
1951-1960,0.216,0.347,0.605,0.374,0.656,0.0,0.207,0.264,0.072,0.189,0.01,0.125
1961-1970,0.706,0.044,0.356,0.077,0.209,0.207,0.0,0.905,0.104,0.188,0.008,0.015
1971-1980,0.803,0.179,0.667,0.191,0.446,0.264,0.905,0.0,0.359,0.377,0.019,0.099
1981-1990,0.18,0.045,0.066,0.172,0.04,0.072,0.104,0.359,0.0,0.206,0.05,0.159
1991-2000,0.173,0.053,0.107,0.142,0.091,0.189,0.188,0.377,0.206,0.0,0.038,0.06
2001-2010,0.007,0.003,0.014,0.012,0.001,0.01,0.008,0.019,0.05,0.038,0.0,0.283
2011-2018,0.019,0.087,0.132,0.146,0.072,0.125,0.015,0.099,0.159,0.06,0.283,0.0
