synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s42158,atmosphäre,1901-1910,1911-1920,0.03588357488535003,0.08350206080484736
s42158,atmosphäre,1911-1920,1921-1930,0.033592307535171194,0.40361187910477025
s42158,atmosphäre,1921-1930,1931-1940,0.01453911518194718,0.16355631967534173
s42158,atmosphäre,1931-1940,1941-1950,0.04419925447271757,0.15089702283794018
s42158,atmosphäre,1941-1950,1951-1960,0.029333530468924597,0.6005300290871004
s42158,atmosphäre,1951-1960,1961-1970,0.028667769400441565,0.04674588675228873
s42158,atmosphäre,1961-1970,1971-1980,0.04461387677180291,0.7108230726648324
s42158,atmosphäre,1971-1980,1981-1990,0.048266637096320404,0.11604258561928878
s42158,atmosphäre,1981-1990,1991-2000,0.027105761042309735,0.1005698725045763
s42158,atmosphäre,1991-2000,2001-2010,0.02491567830068232,0.09005203150211652
