timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1991-2000,8,231.6770026815549,0.001
1911-1920,1931-1940,2,195.106359864977,0.005
1911-1920,1961-1970,5,216.3093824844604,0.006
1911-1920,2011-2018,10,206.631852206212,0.006
1921-1930,1991-2000,7,206.65937776983904,0.009
1921-1930,1961-1970,4,191.2360432413221,0.012
1921-1930,2011-2018,9,180.6619503502843,0.024
1921-1930,1931-1940,1,176.3267505211322,0.025
1911-1920,1981-1990,7,192.53289969568206,0.026
1991-2000,2001-2010,1,182.62937640946177,0.048
