,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.656,0.539,1.0,0.666,1.0,0.35,0.625,0.772,0.352,0.607
1921-1930,0.656,0.0,0.183,0.316,0.331,0.333,0.315,0.071,0.056,0.007,0.013
1931-1940,0.539,0.183,0.0,0.424,0.537,0.541,0.253,0.813,0.73,0.433,0.769
1941-1950,1.0,0.316,0.424,0.0,0.639,0.672,0.336,0.409,0.238,0.102,0.105
1951-1960,0.666,0.331,0.537,0.639,0.0,1.0,1.0,0.901,0.801,0.645,0.655
1961-1970,1.0,0.333,0.541,0.672,1.0,0.0,0.344,0.808,0.821,0.709,0.741
1971-1980,0.35,0.315,0.253,0.336,1.0,0.344,0.0,0.514,0.375,0.511,0.27
1981-1990,0.625,0.071,0.813,0.409,0.901,0.808,0.514,0.0,0.46,0.451,0.341
1991-2000,0.772,0.056,0.73,0.238,0.801,0.821,0.375,0.46,0.0,0.141,0.588
2001-2010,0.352,0.007,0.433,0.102,0.645,0.709,0.511,0.451,0.141,0.0,0.056
2011-2018,0.607,0.013,0.769,0.105,0.655,0.741,0.27,0.341,0.588,0.056,0.0
