,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.049,0.615,0.188,0.026,0.311,0.048,0.239,0.642,0.29,0.002
1911-1920,0.049,0.0,0.311,0.046,0.023,0.05,0.184,0.633,0.248,0.414,0.015
1921-1930,0.615,0.311,0.0,0.541,0.0,0.097,0.019,0.33,0.52,0.315,0.001
1931-1940,0.188,0.046,0.541,0.0,0.0,0.146,0.02,0.46,0.729,0.338,0.008
1941-1950,0.026,0.023,0.0,0.0,0.0,0.522,0.311,0.336,0.152,0.051,0.019
1951-1960,0.311,0.05,0.097,0.146,0.522,0.0,0.274,0.122,0.191,0.091,0.176
1961-1970,0.048,0.184,0.019,0.02,0.311,0.274,0.0,0.53,0.501,0.233,0.122
1971-1980,0.239,0.633,0.33,0.46,0.336,0.122,0.53,0.0,0.817,0.105,0.093
1981-1990,0.642,0.248,0.52,0.729,0.152,0.191,0.501,0.817,0.0,0.094,0.076
2001-2010,0.29,0.414,0.315,0.338,0.051,0.091,0.233,0.105,0.094,0.0,0.167
2011-2018,0.002,0.015,0.001,0.008,0.019,0.176,0.122,0.093,0.076,0.167,0.0
