synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s47572,schimmel,1901-1910,1911-1920,0.06732529091256084,0.8741992724617973
s47572,schimmel,1911-1920,1921-1930,0.03651139313698575,0.22503284619257266
s47572,schimmel,1921-1930,1931-1940,0.06277927753135372,0.10107128037862421
s47572,schimmel,1931-1940,1941-1950,0.030454951139630124,0.14275349719114167
s47572,schimmel,1941-1950,1951-1960,0.04659104072957802,0.07277967051803642
s47572,schimmel,1951-1960,1961-1970,0.011586216725737269,0.29920305925416996
s47572,schimmel,1961-1970,1971-1980,0.01957765924393337,0.2635069024332893
s47572,schimmel,1971-1980,1981-1990,0.030797992454091684,0.1944611992631044
s47572,schimmel,1981-1990,1991-2000,0.02212203950942783,0.21362178513498042
s47572,schimmel,1991-2000,2001-2010,0.034765739321006364,0.13074422254982393
