,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.737,0.189,0.776,0.562,0.696,0.275,0.676,0.574,0.15,0.249
1921-1930,0.737,0.0,0.863,0.678,0.73,0.48,0.864,0.858,0.716,0.644,0.917
1931-1940,0.189,0.863,0.0,0.789,0.511,0.684,0.113,0.217,0.006,0.298,0.212
1941-1950,0.776,0.678,0.789,0.0,0.812,0.855,0.709,0.949,0.719,0.436,0.751
1951-1960,0.562,0.73,0.511,0.812,0.0,0.999,0.978,0.686,0.7,0.315,0.576
1961-1970,0.696,0.48,0.684,0.855,0.999,0.0,0.889,0.956,0.929,0.573,0.857
1971-1980,0.275,0.864,0.113,0.709,0.978,0.889,0.0,0.406,0.023,0.045,0.12
1981-1990,0.676,0.858,0.217,0.949,0.686,0.956,0.406,0.0,0.718,0.318,0.56
1991-2000,0.574,0.716,0.006,0.719,0.7,0.929,0.023,0.718,0.0,0.005,0.112
2001-2010,0.15,0.644,0.298,0.436,0.315,0.573,0.045,0.318,0.005,0.0,0.218
2011-2018,0.249,0.917,0.212,0.751,0.576,0.857,0.12,0.56,0.112,0.218,0.0
