event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1931-1940,1941-1950,2.678563867601271,0.046,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
1,1941-1950,1951-1960,2.7888416531331703,0.045,3,"1951-1960,1961-1970,1971-1980",consecutive
2,1951-1960,2001-2010,2.5590287271333834,0.01,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
3,1961-1970,1991-2000,3.119933522008197,0.007,3,"1971-1980,1981-1990,1991-2000",sudden_shift
4,1961-1970,2001-2010,3.567615280532757,0.002,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1961-1970,2011-2018,3.1683829154998273,0.008,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1971-1980,1991-2000,2.7921524946979766,0.006,2,"1981-1990,1991-2000",sudden_shift
7,1971-1980,2001-2010,3.1825953618623917,0.0,3,"1981-1990,1991-2000,2001-2010",sudden_shift
8,1971-1980,2011-2018,2.8172124403945515,0.005,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1981-1990,2001-2010,2.203334583462395,0.046,2,"1991-2000,2001-2010",sudden_shift
