synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s41205,klima,1901-1910,1911-1920,0.011705628989873755,0.07527515121357252
s41205,klima,1911-1920,1921-1930,0.015920038456861314,0.1209573887255418
s41205,klima,1921-1930,1931-1940,0.005201710631151105,0.2387914470885947
s41205,klima,1931-1940,1941-1950,0.10228939846276652,2.4218680092080023
s41205,klima,1941-1950,1951-1960,0.04116791348947478,0.7668276668811771
s41205,klima,1951-1960,1961-1970,0.028081522831543634,0.47947684016604086
s41205,klima,1961-1970,1971-1980,0.015419961775493799,0.17737955114650877
s41205,klima,1971-1980,1981-1990,0.044156373285923485,0.18738316990587306
s41205,klima,1981-1990,1991-2000,0.008486148942738074,0.39442021957666595
s41205,klima,1991-2000,2001-2010,0.07046731138290067,0.20835292440150538
