,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,0.276,0.197,0.199,0.044,0.252,0.11,0.549,0.449,0.479,0.587
1911-1920,0.276,0.0,0.334,0.697,0.489,0.312,0.889,1.0,1.0,0.65,0.457
1921-1930,0.197,0.334,0.0,0.494,0.288,1.0,0.493,0.319,1.0,1.0,0.417
1931-1940,0.199,0.697,0.494,0.0,0.439,0.504,0.622,0.84,0.52,0.41,0.578
1941-1950,0.044,0.489,0.288,0.439,0.0,0.324,0.387,0.468,0.555,0.153,0.146
1951-1960,0.252,0.312,1.0,0.504,0.324,0.0,1.0,0.336,1.0,1.0,0.405
1961-1970,0.11,0.889,0.493,0.622,0.387,1.0,0.0,0.635,0.501,0.25,0.246
1971-1980,0.549,1.0,0.319,0.84,0.468,0.336,0.635,0.0,0.353,0.346,0.688
1981-1990,0.449,1.0,1.0,0.52,0.555,1.0,0.501,0.353,0.0,1.0,0.413
1991-2000,0.479,0.65,1.0,0.41,0.153,1.0,0.25,0.346,1.0,0.0,0.634
2011-2018,0.587,0.457,0.417,0.578,0.146,0.405,0.246,0.688,0.413,0.634,0.0
