,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.648,0.112,0.381,0.737,0.527,0.244,0.117,0.546,0.128,0.545
1921-1930,0.648,0.0,0.175,0.478,0.812,0.619,0.262,0.138,0.946,0.287,0.871
1931-1940,0.112,0.175,0.0,0.4,0.201,0.099,0.504,0.416,0.152,0.086,0.039
1941-1950,0.381,0.478,0.4,0.0,0.357,0.229,0.313,0.01,0.629,0.298,0.336
1951-1960,0.737,0.812,0.201,0.357,0.0,0.893,0.398,0.345,0.589,0.249,0.523
1961-1970,0.527,0.619,0.099,0.229,0.893,0.0,0.118,0.341,0.083,0.04,0.085
1971-1980,0.244,0.262,0.504,0.313,0.398,0.118,0.0,0.726,0.116,0.063,0.063
1981-1990,0.117,0.138,0.416,0.01,0.345,0.341,0.726,0.0,0.123,0.099,0.094
1991-2000,0.546,0.946,0.152,0.629,0.589,0.083,0.116,0.123,0.0,0.493,0.416
2001-2010,0.128,0.287,0.086,0.298,0.249,0.04,0.063,0.099,0.493,0.0,0.554
2011-2018,0.545,0.871,0.039,0.336,0.523,0.085,0.063,0.094,0.416,0.554,0.0
