,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960
1901-1910,0.0,0.668,0.791,0.328,0.308
1911-1920,0.668,0.0,1.0,0.349,0.324
1921-1930,0.791,1.0,0.0,0.899,0.598
1931-1940,0.328,0.349,0.899,0.0,0.349
1951-1960,0.308,0.324,0.598,0.349,0.0
