,1901-1910,1941-1950,1951-1960,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,1.0,1.0,1.0,0.919,0.766,0.753
1941-1950,1.0,0.0,1.0,0.685,0.712,0.572,0.575,0.343
1951-1960,1.0,1.0,0.0,0.342,0.092,0.063,0.06,0.03
1961-1970,1.0,0.685,0.342,0.0,0.462,0.355,0.339,0.076
1981-1990,1.0,0.712,0.092,0.462,0.0,0.295,0.326,0.334
1991-2000,0.919,0.572,0.063,0.355,0.295,0.0,0.709,0.177
2001-2010,0.766,0.575,0.06,0.339,0.326,0.709,0.0,0.158
2011-2018,0.753,0.343,0.03,0.076,0.334,0.177,0.158,0.0
