timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,5.1286618552020915,0.0
1931-1940,1991-2000,6,7.442708944597543,0.0
1911-1920,1991-2000,8,7.778501213578046,0.001
1901-1910,1931-1940,3,4.808978641793462,0.001
1901-1910,2011-2018,11,5.871127575829379,0.006
1911-1920,1951-1960,4,7.0103393091062225,0.008
1911-1920,1921-1930,1,5.827745625118266,0.009
1951-1960,2011-2018,6,7.996616021918119,0.011
1901-1910,1961-1970,6,7.543136677066759,0.014
1911-1920,1941-1950,3,4.983007223165276,0.018
1911-1920,1961-1970,5,7.876579207199529,0.02
1901-1910,1941-1950,4,3.997915496684781,0.027
1931-1940,1971-1980,4,7.141910798784899,0.04
1941-1950,1951-1960,1,6.3555044573643285,0.041
