,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.594,0.143,0.727,0.017,0.0,0.0,0.058,0.03,0.023
1921-1930,0.594,0.0,0.179,0.302,0.007,0.0,0.0,0.017,0.129,0.006
1931-1940,0.143,0.179,0.0,0.026,0.027,0.0,0.013,0.303,0.238,0.231
1941-1950,0.727,0.302,0.026,0.0,0.006,0.0,0.0,0.006,0.015,0.004
1951-1960,0.017,0.007,0.027,0.006,0.0,0.001,0.117,0.142,0.001,0.11
1961-1970,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001
1971-1980,0.0,0.0,0.013,0.0,0.117,0.001,0.0,0.253,0.0,0.042
1981-1990,0.058,0.017,0.303,0.006,0.142,0.0,0.253,0.0,0.051,0.073
2001-2010,0.03,0.129,0.238,0.015,0.001,0.0,0.0,0.051,0.0,0.035
2011-2018,0.023,0.006,0.231,0.004,0.11,0.001,0.042,0.073,0.035,0.0
