timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1961-1970,5,7.533043588309393,0.0
1911-1920,1971-1980,6,6.8643380330837545,0.0
1921-1930,1961-1970,4,7.688326498669551,0.0
1921-1930,1971-1980,5,7.285626677134541,0.0
1931-1940,1961-1970,3,6.154640903023092,0.0
1941-1950,1961-1970,2,7.832164458087232,0.0
1961-1970,1981-1990,2,6.252661331175336,0.0
1941-1950,1971-1980,3,7.353824706713164,0.0
1961-1970,2001-2010,3,7.321001663045923,0.0
1971-1980,2001-2010,2,6.730399145764202,0.0
1961-1970,2011-2018,4,5.832752546727269,0.001
1961-1970,1971-1980,1,5.576562881546566,0.001
1951-1960,2001-2010,4,6.728283457602062,0.001
1951-1960,1961-1970,1,6.6357949802275185,0.001
1941-1950,2011-2018,6,5.314251707301207,0.004
1941-1950,1951-1960,1,5.583471693045804,0.006
1921-1930,2011-2018,8,5.147069626003755,0.006
1941-1950,1981-1990,4,4.866565437293477,0.006
1921-1930,1951-1960,3,6.142079596160105,0.007
1931-1940,1971-1980,4,5.228375785348175,0.013
1941-1950,2001-2010,5,4.563837854946979,0.015
1911-1920,1951-1960,4,5.21397707773308,0.017
1921-1930,1981-1990,6,4.8292379006896375,0.017
1911-1920,2011-2018,9,4.9082875224426585,0.023
1931-1940,1941-1950,1,3.895943457247586,0.026
1931-1940,1951-1960,2,4.8234117819905284,0.027
1911-1920,2001-2010,8,4.5363234428841,0.03
2001-2010,2011-2018,1,4.8488453207193,0.035
1971-1980,2011-2018,3,5.186004501457809,0.042
