,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,3.059272919982336,3.5094671193911617,2.4504796510137083,5.21397707773308,7.533043588309393,6.8643380330837545,4.439004396070822,4.5363234428841,4.9082875224426585
1921-1930,3.059272919982336,0.0,3.5199549158653802,3.0820876442809895,6.142079596160105,7.688326498669551,7.285626677134541,4.8292379006896375,4.09690023712871,5.147069626003755
1931-1940,3.5094671193911617,3.5199549158653802,0.0,3.895943457247586,4.8234117819905284,6.154640903023092,5.228375785348175,3.5986938735062597,3.6887853700686084,3.6785145228219207
1941-1950,2.4504796510137083,3.0820876442809895,3.895943457247586,0.0,5.583471693045804,7.832164458087232,7.353824706713164,4.866565437293477,4.563837854946979,5.314251707301207
1951-1960,5.21397707773308,6.142079596160105,4.8234117819905284,5.583471693045804,0.0,6.6357949802275185,5.076898298928759,4.73557576188609,6.728283457602062,4.71452752485765
1961-1970,7.533043588309393,7.688326498669551,6.154640903023092,7.832164458087232,6.6357949802275185,0.0,5.576562881546566,6.252661331175336,7.321001663045923,5.832752546727269
1971-1980,6.8643380330837545,7.285626677134541,5.228375785348175,7.353824706713164,5.076898298928759,5.576562881546566,0.0,4.38653712712997,6.730399145764202,5.186004501457809
1981-1990,4.439004396070822,4.8292379006896375,3.5986938735062597,4.866565437293477,4.73557576188609,6.252661331175336,4.38653712712997,0.0,4.678448714443596,4.634300337868027
2001-2010,4.5363234428841,4.09690023712871,3.6887853700686084,4.563837854946979,6.728283457602062,7.321001663045923,6.730399145764202,4.678448714443596,0.0,4.8488453207193
2011-2018,4.9082875224426585,5.147069626003755,3.6785145228219207,5.314251707301207,4.71452752485765,5.832752546727269,5.186004501457809,4.634300337868027,4.8488453207193,0.0
