,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.002,0.002,0.0,0.0
1911-1920,0.0,0.0,0.0,0.04,0.001,0.053,0.001,0.0,0.0,0.0,0.202
1921-1930,0.0,0.0,0.0,0.001,0.0,0.025,0.008,0.011,0.031,0.0,0.154
1931-1940,0.0,0.04,0.001,0.0,0.039,0.069,0.077,0.008,0.053,0.001,0.626
1941-1950,0.0,0.001,0.0,0.039,0.0,0.009,0.006,0.0,0.02,0.0,0.023
1951-1960,0.021,0.053,0.025,0.069,0.009,0.0,0.673,0.379,0.188,0.56,0.856
1961-1970,0.0,0.001,0.008,0.077,0.006,0.673,0.0,0.386,0.144,0.095,0.339
1971-1980,0.002,0.0,0.011,0.008,0.0,0.379,0.386,0.0,0.094,0.003,0.078
1981-1990,0.002,0.0,0.031,0.053,0.02,0.188,0.144,0.094,0.0,0.054,0.044
2001-2010,0.0,0.0,0.0,0.001,0.0,0.56,0.095,0.003,0.054,0.0,0.386
2011-2018,0.0,0.202,0.154,0.626,0.023,0.856,0.339,0.078,0.044,0.386,0.0
