,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.656,0.12,1.0,0.338,0.327,1.0,0.192,0.056,0.041,0.185
1921-1930,0.656,0.0,0.312,1.0,0.331,0.688,0.678,0.605,0.098,0.23,0.741
1931-1940,0.12,0.312,0.0,1.0,0.34,0.857,0.67,0.696,0.82,0.698,0.714
1941-1950,1.0,1.0,1.0,0.0,0.341,1.0,1.0,1.0,0.637,0.723,0.868
1951-1960,0.338,0.331,0.34,0.341,0.0,0.327,0.649,0.559,0.404,0.345,0.381
1961-1970,0.327,0.688,0.857,1.0,0.327,0.0,0.665,0.694,0.745,0.887,0.664
1971-1980,1.0,0.678,0.67,1.0,0.649,0.665,0.0,0.613,0.571,0.386,0.446
1981-1990,0.192,0.605,0.696,1.0,0.559,0.694,0.613,0.0,0.388,0.146,0.919
1991-2000,0.056,0.098,0.82,0.637,0.404,0.745,0.571,0.388,0.0,0.489,0.145
2001-2010,0.041,0.23,0.698,0.723,0.345,0.887,0.386,0.146,0.489,0.0,0.039
2011-2018,0.185,0.741,0.714,0.868,0.381,0.664,0.446,0.919,0.145,0.039,0.0
