,1901-1910,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990
1901-1910,0.0,0.276,0.225,1.0,1.0,0.655,1.0
1931-1940,0.276,0.0,0.297,0.293,0.411,0.226,0.562
1941-1950,0.225,0.297,0.0,0.226,0.766,0.208,0.548
1951-1960,1.0,0.293,0.226,0.0,1.0,1.0,1.0
1961-1970,1.0,0.411,0.766,1.0,0.0,0.653,1.0
1971-1980,0.655,0.226,0.208,1.0,0.653,0.0,1.0
1981-1990,1.0,0.562,0.548,1.0,1.0,1.0,0.0
