timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,1951-1960,2,76.58538227403781,0.007
1931-1940,1981-1990,5,57.50424863431541,0.009
1951-1960,2011-2018,6,69.87275157826105,0.039
