,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2011-2018
1901-1910,0.0,0.093,0.443,0.008,0.009,0.13,0.17,0.225,0.23,0.667,0.126
1911-1920,0.093,0.0,0.689,0.79,0.466,0.312,0.082,0.355,0.671,0.65,0.259
1921-1930,0.443,0.689,0.0,0.896,0.703,1.0,0.241,0.667,1.0,1.0,0.417
1931-1940,0.008,0.79,0.896,0.0,0.145,0.283,0.084,0.32,0.626,0.69,0.193
1941-1950,0.009,0.466,0.703,0.145,0.0,0.147,0.215,0.593,1.0,1.0,0.275
1951-1960,0.13,0.312,1.0,0.283,0.147,0.0,0.248,0.658,1.0,1.0,0.206
1961-1970,0.17,0.082,0.241,0.084,0.215,0.248,0.0,0.121,0.501,0.497,0.119
1971-1980,0.225,0.355,0.667,0.32,0.593,0.658,0.121,0.0,1.0,1.0,0.156
1981-1990,0.23,0.671,1.0,0.626,1.0,1.0,0.501,1.0,0.0,1.0,0.622
1991-2000,0.667,0.65,1.0,0.69,1.0,1.0,0.497,1.0,1.0,0.0,0.634
2011-2018,0.126,0.259,0.417,0.193,0.275,0.206,0.119,0.156,0.622,0.634,0.0
