,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,17.968365012993157,16.949488682888823,20.76414740559554,16.484887000106063,22.17622787228758,16.36889519954039,16.30067110031574,15.434350183405263,18.45257261101029
1911-1920,17.968365012993157,0.0,14.672991511052384,18.260642896915694,15.606160076642347,22.793957956705906,14.685468762954857,15.849206571253058,15.786363947153871,18.833480486527563
1921-1930,16.949488682888823,14.672991511052384,0.0,18.814468042467485,13.75620549561715,20.84400183629128,13.133706798345306,13.768539389119578,13.200743621454032,16.628029237183544
1931-1940,20.76414740559554,18.260642896915694,18.814468042467485,0.0,19.58122352548517,25.571882105324754,18.862047416085453,19.876390203177614,19.70281835736142,22.62418281295017
1941-1950,16.484887000106063,15.606160076642347,13.75620549561715,19.58122352548517,0.0,21.625645464432647,14.082248335362749,14.84174555255145,14.121992965298384,16.440464043019123
1951-1960,22.17622787228758,22.793957956705906,20.84400183629128,25.571882105324754,21.625645464432647,0.0,19.441224777311486,20.69749144119116,20.227231541566386,21.072198562685877
1961-1970,16.36889519954039,14.685468762954857,13.133706798345306,18.862047416085453,14.082248335362749,19.441224777311486,0.0,13.150482036062478,13.887837746781697,15.905687444325192
1971-1980,16.30067110031574,15.849206571253058,13.768539389119578,19.876390203177614,14.84174555255145,20.69749144119116,13.150482036062478,0.0,14.100668508183926,16.954027719178956
1981-1990,15.434350183405263,15.786363947153871,13.200743621454032,19.70281835736142,14.121992965298384,20.227231541566386,13.887837746781697,14.100668508183926,0.0,15.412721752268512
2001-2010,18.45257261101029,18.833480486527563,16.628029237183544,22.62418281295017,16.440464043019123,21.072198562685877,15.905687444325192,16.954027719178956,15.412721752268512,0.0
