,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,0.636,0.198,0.676,0.126,0.665,0.271,0.448,0.274,0.312
1911-1920,0.636,0.0,0.791,1.0,0.263,0.35,0.602,0.451,0.123,0.349
1921-1930,0.198,0.791,0.0,0.505,0.158,0.489,0.636,0.545,0.327,0.097
1931-1940,0.676,1.0,0.505,0.0,0.396,1.0,0.81,0.616,0.393,0.331
1941-1950,0.126,0.263,0.158,0.396,0.0,0.183,0.065,0.022,0.027,0.068
1951-1960,0.665,0.35,0.489,1.0,0.183,0.0,0.778,0.59,0.169,0.695
1961-1970,0.271,0.602,0.636,0.81,0.065,0.778,0.0,0.433,0.028,0.337
1971-1980,0.448,0.451,0.545,0.616,0.022,0.59,0.433,0.0,0.085,0.214
1981-1990,0.274,0.123,0.327,0.393,0.027,0.169,0.028,0.085,0.0,0.269
2001-2010,0.312,0.349,0.097,0.331,0.068,0.695,0.337,0.214,0.269,0.0
