event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1941-1950,10.312549165698451,0.02,4,"1911-1920,1921-1930,1931-1940,1941-1950",sudden_shift
1,1921-1930,2011-2018,8.64777996229954,0.018,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
2,1931-1940,2011-2018,7.326382043724815,0.039,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
3,1941-1950,1961-1970,7.330889195574863,0.008,2,"1951-1960,1961-1970",sudden_shift
4,1941-1950,1971-1980,7.731155391179194,0.033,3,"1951-1960,1961-1970,1971-1980",sudden_shift
5,1941-1950,1981-1990,7.664279793114437,0.018,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
6,1941-1950,2011-2018,10.033459915080824,0.008,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1961-1970,2011-2018,6.926660431857938,0.0,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1971-1980,2011-2018,6.605609138358857,0.017,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1981-1990,2011-2018,6.387643482385817,0.017,3,"1991-2000,2001-2010,2011-2018",sudden_shift
