,1901-1910,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990
1901-1910,0.0,0.129,0.328,1.0,1.0,0.319,1.0
1931-1940,0.129,0.0,0.643,0.576,0.338,0.256,0.145
1941-1950,0.328,0.643,0.0,0.588,0.53,0.439,0.335
1951-1960,1.0,0.576,0.588,0.0,1.0,1.0,1.0
1961-1970,1.0,0.338,0.53,1.0,0.0,0.653,1.0
1971-1980,0.319,0.256,0.439,1.0,0.653,0.0,0.358
1981-1990,1.0,0.145,0.335,1.0,1.0,0.358,0.0
