,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.745,0.32,0.177,0.744
1931-1940,0.745,0.0,0.746,0.53,1.0
1991-2000,0.32,0.746,0.0,0.368,0.91
2001-2010,0.177,0.53,0.368,0.0,0.661
2011-2018,0.744,1.0,0.91,0.661,0.0
