,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,0.657,0.405,0.506,0.385,0.799,0.34,1.0,0.316,0.346
1921-1930,1.0,0.0,1.0,0.678,1.0,0.65,0.932,1.0,1.0,0.665,0.678
1931-1940,0.657,1.0,0.0,0.318,0.805,0.338,0.738,1.0,1.0,1.0,0.68
1941-1950,0.405,0.678,0.318,0.0,0.305,0.534,0.67,0.604,1.0,0.812,0.877
1951-1960,0.506,1.0,0.805,0.305,0.0,0.461,0.752,0.802,0.746,0.394,0.427
1961-1970,0.385,0.65,0.338,0.534,0.461,0.0,0.899,0.573,0.61,0.34,0.62
1971-1980,0.799,0.932,0.738,0.67,0.752,0.899,0.0,0.799,1.0,0.469,0.59
1981-1990,0.34,1.0,1.0,0.604,0.802,0.573,0.799,0.0,1.0,0.338,0.335
1991-2000,1.0,1.0,1.0,1.0,0.746,0.61,1.0,1.0,0.0,1.0,1.0
2001-2010,0.316,0.665,1.0,0.812,0.394,0.34,0.469,0.338,1.0,0.0,1.0
2011-2018,0.346,0.678,0.68,0.877,0.427,0.62,0.59,0.335,1.0,1.0,0.0
