,1901-1910,1941-1950,1951-1960,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,1.0,1.0,0.656,0.118,0.076,0.063,0.162
1941-1950,1.0,0.0,1.0,0.685,0.089,0.042,0.048,0.16
1951-1960,1.0,1.0,0.0,0.342,0.092,0.032,0.015,0.03
1961-1970,0.656,0.685,0.342,0.0,0.029,0.036,0.056,0.055
1981-1990,0.118,0.089,0.092,0.029,0.0,0.013,0.021,0.004
1991-2000,0.076,0.042,0.032,0.036,0.013,0.0,0.017,0.0
2001-2010,0.063,0.048,0.015,0.056,0.021,0.017,0.0,0.0
2011-2018,0.162,0.16,0.03,0.055,0.004,0.0,0.0,0.0
