,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.833,0.193,0.833,0.603,0.083,0.426,0.537,0.679,0.153,0.116,0.27
1911-1920,0.833,0.0,0.531,0.568,0.424,0.069,0.292,0.144,0.444,0.274,0.925,0.11
1921-1930,0.193,0.531,0.0,0.869,0.458,0.183,0.173,0.119,0.25,0.029,0.064,0.525
1931-1940,0.833,0.568,0.869,0.0,0.666,0.124,0.382,0.128,0.485,0.506,0.618,0.236
1941-1950,0.603,0.424,0.458,0.666,0.0,0.869,0.393,0.655,1.0,0.482,0.361,0.321
1951-1960,0.083,0.069,0.183,0.124,0.869,0.0,0.352,0.124,0.4,0.107,0.091,0.246
1961-1970,0.426,0.292,0.173,0.382,0.393,0.352,0.0,0.334,0.341,0.213,0.276,0.163
1971-1980,0.537,0.144,0.119,0.128,0.655,0.124,0.334,0.0,0.639,0.069,0.085,0.12
1981-1990,0.679,0.444,0.25,0.485,1.0,0.4,0.341,0.639,0.0,0.357,0.38,0.386
1991-2000,0.153,0.274,0.029,0.506,0.482,0.107,0.213,0.069,0.357,0.0,0.532,0.422
2001-2010,0.116,0.925,0.064,0.618,0.361,0.091,0.276,0.085,0.38,0.532,0.0,0.629
2011-2018,0.27,0.11,0.525,0.236,0.321,0.246,0.163,0.12,0.386,0.422,0.629,0.0
