timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1971-1980,7,49.94513802782786,0.003
1971-1980,1991-2000,2,40.74204668687025,0.009
1971-1980,1981-1990,1,37.83178996400204,0.027
1941-1950,1971-1980,3,60.44848322822678,0.027
1971-1980,2001-2010,3,36.266467059937206,0.034
1901-1910,2011-2018,11,44.96321504930717,0.035
