timespan_1,timespan_2,distance,drift_magnitude,p_value
1921-1930,1981-1990,6,25.11623687744583,0.002
1921-1930,2001-2010,8,24.783905438060213,0.003
1921-1930,2011-2018,9,24.251644357021856,0.003
1921-1930,1931-1940,1,22.331787253862576,0.005
1931-1940,1991-2000,6,20.747169962719695,0.006
1921-1930,1961-1970,4,31.261677068618074,0.011
1931-1940,1941-1950,1,20.107608214236635,0.014
1911-1920,1981-1990,7,26.001596048323783,0.014
1931-1940,1971-1980,4,23.940117034655614,0.016
1941-1950,2011-2018,7,22.712078671851796,0.017
1901-1910,1921-1930,2,26.37410297737591,0.018
1911-1920,2001-2010,9,22.11061069952334,0.023
1991-2000,2011-2018,2,21.703159868829268,0.024
1901-1910,1941-1950,4,26.404569800123586,0.025
1911-1920,1971-1980,6,26.300146218125125,0.026
1931-1940,1981-1990,5,19.66260615895815,0.029
1911-1920,1941-1950,3,21.144144026324422,0.03
1911-1920,1991-2000,8,20.934167332032327,0.033
1901-1910,1991-2000,9,25.562430356919727,0.034
1901-1910,1981-1990,8,26.496133010735782,0.038
1901-1910,1971-1980,7,28.703584258736544,0.039
1961-1970,1991-2000,3,28.611488543877147,0.042
1981-1990,2011-2018,3,21.63796607512035,0.043
1971-1980,2001-2010,3,23.389715095066702,0.047
