,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960
1901-1910,0.0,1.0,0.812,0.65,1.0
1911-1920,1.0,0.0,1.0,0.669,0.644
1921-1930,0.812,1.0,0.0,0.899,0.391
1931-1940,0.65,0.669,0.899,0.0,0.349
1951-1960,1.0,0.644,0.391,0.349,0.0
