,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,0.636,0.613,1.0,0.935,1.0,0.67,0.86,0.746,1.0
1911-1920,0.636,0.0,0.51,1.0,0.739,0.668,0.347,0.711,0.601,0.665
1921-1930,0.613,0.51,0.0,0.505,0.479,0.489,0.166,0.545,0.92,0.627
1931-1940,1.0,1.0,0.505,0.0,0.775,1.0,0.81,1.0,1.0,0.667
1941-1950,0.935,0.739,0.479,0.775,0.0,0.606,0.521,0.513,0.679,0.613
1951-1960,1.0,0.668,0.489,1.0,0.606,0.0,0.392,0.593,0.582,0.341
1961-1970,0.67,0.347,0.166,0.81,0.521,0.392,0.0,0.865,0.391,0.326
1971-1980,0.86,0.711,0.545,1.0,0.513,0.593,0.865,0.0,1.0,0.607
1981-1990,0.746,0.601,0.92,1.0,0.679,0.582,0.391,1.0,0.0,0.666
2001-2010,1.0,0.665,0.627,0.667,0.613,0.341,0.326,0.607,0.666,0.0
