event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,6.309852037028038,0.0,4,"1911-1920,1921-1930,1931-1940,1941-1950",consecutive
1,1911-1920,1921-1930,4.9915246598239404,0.0,2,"1921-1930,1931-1940",consecutive
2,1921-1930,1981-1990,7.749800628915762,0.0,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
3,1921-1930,1991-2000,7.478547715176045,0.041,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1921-1930,2001-2010,7.29544611948263,0.001,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1921-1930,2011-2018,5.993471007703879,0.005,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1931-1940,1981-1990,7.009149195253846,0.0,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
7,1931-1940,1991-2000,8.092810505943989,0.02,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1931-1940,2001-2010,7.465954522799132,0.0,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
9,1931-1940,2011-2018,5.816724274707314,0.002,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
10,1941-1950,1981-1990,7.758788189958867,0.0,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
11,1941-1950,1991-2000,8.485476347069161,0.028,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
12,1941-1950,2001-2010,8.21557794967949,0.0,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
13,1941-1950,2011-2018,6.875232567045582,0.002,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
14,1951-1960,2001-2010,9.565820101690722,0.004,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
15,1961-1970,1981-1990,9.11712897793695,0.026,2,"1971-1980,1981-1990",sudden_shift
16,1961-1970,2001-2010,8.632150079719723,0.006,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
17,1981-1990,2001-2010,6.742865462299484,0.004,2,"1991-2000,2001-2010",sudden_shift
