,1901-1910,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990
1901-1910,0.0,0.061,0.119,1.0,1.0,0.319,1.0
1931-1940,0.061,0.0,0.405,0.86,0.143,0.074,0.645
1941-1950,0.119,0.405,0.0,1.0,0.551,0.206,0.765
1951-1960,1.0,0.86,1.0,0.0,1.0,1.0,1.0
1961-1970,1.0,0.143,0.551,1.0,0.0,0.675,1.0
1971-1980,0.319,0.074,0.206,1.0,0.675,0.0,0.68
1981-1990,1.0,0.645,0.765,1.0,1.0,0.68,0.0
