,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.313,0.352,0.023,0.051,0.797,0.437,0.402,0.777,0.058,0.436
1911-1920,0.313,0.0,0.278,0.175,0.597,0.712,0.493,0.615,0.942,0.111,0.209
1921-1930,0.352,0.278,0.0,0.179,0.373,0.504,0.867,0.889,0.982,0.056,0.558
1931-1940,0.023,0.175,0.179,0.0,0.931,0.333,0.914,0.862,0.962,0.031,0.256
1941-1950,0.051,0.597,0.373,0.931,0.0,0.532,0.945,0.821,0.961,0.071,0.398
1951-1960,0.797,0.712,0.504,0.333,0.532,0.0,0.252,0.269,0.645,0.797,0.855
1961-1970,0.437,0.493,0.867,0.914,0.945,0.252,0.0,0.898,0.706,0.651,0.731
1971-1980,0.402,0.615,0.889,0.862,0.821,0.269,0.898,0.0,0.863,0.403,0.395
1981-1990,0.777,0.942,0.982,0.962,0.961,0.645,0.706,0.863,0.0,0.616,0.686
2001-2010,0.058,0.111,0.056,0.031,0.071,0.797,0.651,0.403,0.616,0.0,0.809
2011-2018,0.436,0.209,0.558,0.256,0.398,0.855,0.731,0.395,0.686,0.809,0.0
