,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960
1901-1910,0.0,0.339,0.708,1.0,1.0
1911-1920,0.339,0.0,0.759,0.349,0.324
1921-1930,0.708,0.759,0.0,0.898,0.802
1931-1940,1.0,0.349,0.898,0.0,0.349
1951-1960,1.0,0.324,0.802,0.349,0.0
