,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.315,0.539,1.0,1.0,1.0,1.0,0.679,0.736,0.674,0.783
1921-1930,0.315,0.0,0.183,0.316,0.651,0.645,0.315,0.329,0.024,0.04,0.03
1931-1940,0.539,0.183,0.0,0.424,0.542,0.475,0.327,0.692,0.229,0.144,0.291
1941-1950,1.0,0.316,0.424,0.0,0.639,0.672,0.336,0.415,0.348,0.121,0.106
1951-1960,1.0,0.651,0.542,0.639,0.0,1.0,1.0,0.756,0.979,0.992,0.996
1961-1970,1.0,0.645,0.475,0.672,1.0,0.0,0.344,0.424,0.403,0.293,0.425
1971-1980,1.0,0.315,0.327,0.336,1.0,0.344,0.0,0.814,0.436,0.517,0.476
1981-1990,0.679,0.329,0.692,0.415,0.756,0.424,0.814,0.0,0.208,0.135,0.138
1991-2000,0.736,0.024,0.229,0.348,0.979,0.403,0.436,0.208,0.0,0.264,0.601
2001-2010,0.674,0.04,0.144,0.121,0.992,0.293,0.517,0.135,0.264,0.0,0.164
2011-2018,0.783,0.03,0.291,0.106,0.996,0.425,0.476,0.138,0.601,0.164,0.0
