timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1941-1950,4,5.106236712718663,0.0
1901-1910,1971-1980,7,4.751724768247081,0.0
1901-1910,2001-2010,10,4.352822345918182,0.0
1901-1910,1981-1990,8,5.0255619913177325,0.0
1911-1920,1991-2000,8,4.265053858804047,0.0
1911-1920,1971-1980,6,4.394491732370353,0.0
1911-1920,1951-1960,4,4.815173459632649,0.0
1911-1920,1941-1950,3,4.935174539245381,0.0
1941-1950,1981-1990,4,5.300703424300373,0.0
1941-1950,1991-2000,5,4.107895655573376,0.0
1941-1950,2001-2010,6,4.994068481150635,0.0
1951-1960,2001-2010,5,3.6220843944491072,0.0
1941-1950,1951-1960,1,4.088691227093293,0.0
1901-1910,1951-1960,5,4.308973375307448,0.001
1941-1950,1971-1980,3,3.9114764147541656,0.001
1901-1910,1991-2000,9,4.01868747952348,0.002
1941-1950,2011-2018,7,4.426706219841049,0.003
1911-1920,2011-2018,10,5.076449883070462,0.004
1931-1940,1941-1950,1,4.318493536479922,0.007
1941-1950,1961-1970,2,4.4606967242766125,0.009
1951-1960,1961-1970,1,3.627121196943553,0.009
1901-1910,1961-1970,6,4.435245883945387,0.01
1901-1910,2011-2018,11,4.504191950316807,0.011
1951-1960,1981-1990,3,3.9121878057475774,0.012
1921-1930,1951-1960,3,4.760556836502282,0.015
1911-1920,1981-1990,7,4.923358168612635,0.018
1921-1930,2011-2018,9,5.110041538475119,0.022
1931-1940,1971-1980,4,3.499251957880242,0.025
1991-2000,2001-2010,1,2.719548109878501,0.027
1911-1920,2001-2010,9,3.741024299232971,0.031
1911-1920,1961-1970,5,4.347553769375285,0.034
1931-1940,1951-1960,2,3.38843510441705,0.037
1961-1970,2001-2010,4,3.3993182453692876,0.042
1971-1980,2001-2010,3,2.8550080980083337,0.046
1981-1990,1991-2000,1,3.5508860588426803,0.047
