,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.789,0.141,0.201,1.0,0.109,0.029,0.238,0.274
1921-1930,0.789,0.0,0.3,0.289,0.706,0.184,0.015,0.502,0.49
1931-1940,0.141,0.3,0.0,0.575,0.661,0.361,0.018,0.455,0.364
1941-1950,0.201,0.289,0.575,0.0,0.874,0.52,0.083,0.213,0.385
1961-1970,1.0,0.706,0.661,0.874,0.0,1.0,0.579,0.809,1.0
1981-1990,0.109,0.184,0.361,0.52,1.0,0.0,0.651,0.335,0.329
1991-2000,0.029,0.015,0.018,0.083,0.579,0.651,0.0,0.133,0.135
2001-2010,0.238,0.502,0.455,0.213,0.809,0.335,0.133,0.0,0.473
2011-2018,0.274,0.49,0.364,0.385,1.0,0.329,0.135,0.473,0.0
