,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,6.232668497478626,7.82853812409555,10.898443762045197,8.007248862503882,6.601287842451344,12.032427041608468,7.61346629469348,10.640167522987475,11.160010293569357,10.992046955411608,9.321644167149088
1911-1920,6.232668497478626,0.0,7.088996676905298,8.46476384958872,9.471222906175464,7.636711543951243,9.101255494241093,9.004252451665279,10.352134346094905,7.995747745054119,9.610744010250441,7.961730073072743
1921-1930,7.82853812409555,7.088996676905298,0.0,10.624256477917124,10.205778032902941,9.269183190687514,9.665367621483956,10.615412318612787,9.3403740925725,9.138669659305286,12.325943728290143,9.05449434131513
1931-1940,10.898443762045197,8.46476384958872,10.624256477917124,0.0,11.779348049729466,11.325992627663691,9.782498899520984,13.241443497521521,13.281552419251494,10.27054826794665,11.5325987286055,12.07968043625766
1941-1950,8.007248862503882,9.471222906175464,10.205778032902941,11.779348049729466,0.0,8.302296779758477,12.541207119708906,10.795337030609291,11.97394317039334,12.611062222275692,13.212397070963084,11.99800702335617
1951-1960,6.601287842451344,7.636711543951243,9.269183190687514,11.325992627663691,8.302296779758477,0.0,11.534274657826906,8.924194750343146,11.171188202466166,10.66061947775541,12.168187671457188,9.214287203976122
1961-1970,12.032427041608468,9.101255494241093,9.665367621483956,9.782498899520984,12.541207119708906,11.534274657826906,0.0,14.177460705734683,11.603753397318297,8.148140155200863,12.985014202096925,11.257762510560514
1971-1980,7.61346629469348,9.004252451665279,10.615412318612787,13.241443497521521,10.795337030609291,8.924194750343146,14.177460705734683,0.0,12.05559671435968,13.4960921054283,11.6818499729341,11.972848718664878
1981-1990,10.640167522987475,10.352134346094905,9.3403740925725,13.281552419251494,11.97394317039334,11.171188202466166,11.603753397318297,12.05559671435968,0.0,11.750777298456299,13.867854991035362,12.62815202858728
1991-2000,11.160010293569357,7.995747745054119,9.138669659305286,10.27054826794665,12.611062222275692,10.66061947775541,8.148140155200863,13.4960921054283,11.750777298456299,0.0,12.790673067559773,9.36428991111451
2001-2010,10.992046955411608,9.610744010250441,12.325943728290143,11.5325987286055,13.212397070963084,12.168187671457188,12.985014202096925,11.6818499729341,13.867854991035362,12.790673067559773,0.0,13.320655499905893
2011-2018,9.321644167149088,7.961730073072743,9.05449434131513,12.07968043625766,11.99800702335617,9.214287203976122,11.257762510560514,11.972848718664878,12.62815202858728,9.36428991111451,13.320655499905893,0.0
