,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1911-1920,0.0,0.698,0.756,0.69,0.672,0.55,0.372,0.544,0.865,0.437
1921-1930,0.698,0.0,0.629,0.732,0.7,0.57,0.412,0.586,0.914,0.441
1931-1940,0.756,0.629,0.0,0.555,0.941,0.665,0.384,0.642,0.853,0.61
1941-1950,0.69,0.732,0.555,0.0,0.674,0.485,0.26,0.355,0.63,0.329
1951-1960,0.672,0.7,0.941,0.674,0.0,0.847,0.712,0.774,0.706,0.486
1961-1970,0.55,0.57,0.665,0.485,0.847,0.0,0.523,0.498,0.409,0.286
1971-1980,0.372,0.412,0.384,0.26,0.712,0.523,0.0,0.243,0.057,0.037
1981-1990,0.544,0.586,0.642,0.355,0.774,0.498,0.243,0.0,0.334,0.385
2001-2010,0.865,0.914,0.853,0.63,0.706,0.409,0.057,0.334,0.0,0.174
2011-2018,0.437,0.441,0.61,0.329,0.486,0.286,0.037,0.385,0.174,0.0
