,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1901-1910,0.0,17.624681328459026,20.610018976351007,20.24483816443545,19.770344922231406,17.72747018887239,18.647449052355995,19.153122613774595,19.132355696758317
1911-1920,17.624681328459026,0.0,18.61221781883426,15.973488080761358,17.46797499129953,15.906300339620357,10.432361683933129,17.256337443089954,10.282546373145761
1921-1930,20.610018976351007,18.61221781883426,0.0,19.95158118155143,19.434421757346506,18.563231328872547,18.503174072350056,20.662330062429696,19.509149102680478
1931-1940,20.24483816443545,15.973488080761358,19.95158118155143,0.0,15.202142606446019,16.142964190765362,16.811944103211506,18.170963574703354,17.06498994556241
1941-1950,19.770344922231406,17.46797499129953,19.434421757346506,15.202142606446019,0.0,14.794084912490412,17.728817415776373,17.810662421519257,18.313289320672364
1951-1960,17.72747018887239,15.906300339620357,18.563231328872547,16.142964190765362,14.794084912490412,0.0,15.731942685791639,16.309902626250512,16.638270000746108
1991-2000,18.647449052355995,10.432361683933129,18.503174072350056,16.811944103211506,17.728817415776373,15.731942685791639,0.0,18.14464225202226,10.374410961778688
2001-2010,19.153122613774595,17.256337443089954,20.662330062429696,18.170963574703354,17.810662421519257,16.309902626250512,18.14464225202226,0.0,18.050614747510863
2011-2018,19.132355696758317,10.282546373145761,19.509149102680478,17.06498994556241,18.313289320672364,16.638270000746108,10.374410961778688,18.050614747510863,0.0
