event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1981-1990,1991-2000,6.684876946248561,0.002,3,"1991-2000,2001-2010,2011-2018",consecutive
1,1991-2000,2001-2010,7.981531852459955,0.003,2,"2001-2010,2011-2018",consecutive
2,1901-1910,1931-1940,5.960186924147011,0.039,3,"1911-1920,1921-1930,1931-1940",sudden_shift
3,1931-1940,1951-1960,6.072779071887161,0.049,2,"1941-1950,1951-1960",sudden_shift
4,1931-1940,1981-1990,6.011868709593794,0.038,5,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
