,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.787,0.456,0.254,0.211,0.447,0.482,0.369,0.451
1931-1940,0.787,0.0,0.322,0.161,0.05,0.134,0.495,0.406,0.699
1941-1950,0.456,0.322,0.0,0.605,0.029,0.204,0.299,0.652,0.202
1951-1960,0.254,0.161,0.605,0.0,0.064,0.467,0.226,0.553,0.103
1961-1970,0.211,0.05,0.029,0.064,0.0,0.383,0.065,0.079,0.014
1971-1980,0.447,0.134,0.204,0.467,0.383,0.0,0.61,0.842,0.2
1991-2000,0.482,0.495,0.299,0.226,0.065,0.61,0.0,0.948,0.691
2001-2010,0.369,0.406,0.652,0.553,0.079,0.842,0.948,0.0,0.736
2011-2018,0.451,0.699,0.202,0.103,0.014,0.2,0.691,0.736,0.0
