,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.159,0.179,0.001,0.006,0.003,0.0,0.0,0.0,0.001,0.0
1911-1920,0.159,0.0,0.044,0.0,0.012,0.0,0.002,0.0,0.0,0.002,0.001
1921-1930,0.179,0.044,0.0,0.0,0.029,0.001,0.0,0.0,0.0,0.013,0.0
1931-1940,0.001,0.0,0.0,0.0,0.161,0.229,0.074,0.07,0.031,0.02,0.228
1941-1950,0.006,0.012,0.029,0.161,0.0,0.295,0.075,0.433,0.043,0.704,0.358
1951-1960,0.003,0.0,0.001,0.229,0.295,0.0,0.0,0.009,0.0,0.078,0.016
1961-1970,0.0,0.002,0.0,0.074,0.075,0.0,0.0,0.176,0.525,0.017,0.295
1971-1980,0.0,0.0,0.0,0.07,0.433,0.009,0.176,0.0,0.563,0.217,0.784
1981-1990,0.0,0.0,0.0,0.031,0.043,0.0,0.525,0.563,0.0,0.021,0.562
2001-2010,0.001,0.002,0.013,0.02,0.704,0.078,0.017,0.217,0.021,0.0,0.18
2011-2018,0.0,0.001,0.0,0.228,0.358,0.016,0.295,0.784,0.562,0.18,0.0
