event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1981-1990,1991-2000,3.0189851517233195,0.0,2,"1991-2000,2001-2010",consecutive
1,1901-1910,1951-1960,2.166264775405649,0.014,5,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
2,1901-1910,1961-1970,2.459799235537298,0.012,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
3,1901-1910,1971-1980,3.351601712086176,0.0,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
4,1901-1910,1981-1990,2.3468397814416515,0.001,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
5,1911-1920,1971-1980,3.0706710615732224,0.003,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
6,1921-1930,1971-1980,2.917888317072693,0.006,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
7,1921-1930,1981-1990,2.0314150452253186,0.024,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
8,1931-1940,1971-1980,2.875334128668028,0.017,4,"1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
9,1941-1950,1971-1980,2.9407310733273717,0.004,3,"1951-1960,1961-1970,1971-1980",sudden_shift
10,1941-1950,1981-1990,2.0234675720818704,0.022,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
11,1991-2000,2011-2018,2.603644255679899,0.027,2,"2001-2010,2011-2018",sudden_shift
