,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.031,0.097,0.042,0.042,0.019,0.48,0.642,0.403,0.082,0.087
1911-1920,0.031,0.0,0.04,0.073,0.256,0.071,0.126,0.395,0.67,0.222,0.068
1921-1930,0.097,0.04,0.0,0.364,0.384,0.07,0.871,0.777,0.536,0.539,0.239
1931-1940,0.042,0.073,0.364,0.0,0.396,0.132,0.733,0.247,0.292,0.401,0.371
1941-1950,0.042,0.256,0.384,0.396,0.0,0.043,0.574,0.612,0.796,0.616,0.212
1951-1960,0.019,0.071,0.07,0.132,0.043,0.0,0.255,0.062,0.1,0.241,0.552
1961-1970,0.48,0.126,0.871,0.733,0.574,0.255,0.0,0.639,0.585,0.785,0.691
1971-1980,0.642,0.395,0.777,0.247,0.612,0.062,0.639,0.0,0.844,0.4,0.135
1981-1990,0.403,0.67,0.536,0.292,0.796,0.1,0.585,0.844,0.0,0.708,0.254
2001-2010,0.082,0.222,0.539,0.401,0.616,0.241,0.785,0.4,0.708,0.0,0.58
2011-2018,0.087,0.068,0.239,0.371,0.212,0.552,0.691,0.135,0.254,0.58,0.0
