,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1911-1920,0.0,0.27,1.0,0.683,1.0,1.0
1921-1930,0.27,0.0,0.093,0.092,0.246,0.253
1931-1940,1.0,0.093,0.0,0.386,0.507,0.751
1941-1950,0.683,0.092,0.386,0.0,0.67,0.655
1951-1960,1.0,0.246,0.507,0.67,0.0,1.0
1991-2000,1.0,0.253,0.751,0.655,1.0,0.0
