,1901-1910,1951-1960,1991-2000,2001-2010
1901-1910,0.0,0.317,0.711,0.285
1951-1960,0.317,0.0,0.476,0.74
1991-2000,0.711,0.476,0.0,0.963
2001-2010,0.285,0.74,0.963,0.0
