,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1931-1940,0.0,18.7071459818087,21.066973213230046,18.54871831825957,20.20213378880103,22.04909154519576
1941-1950,18.7071459818087,0.0,16.560307434850586,12.284635568312716,15.99474009134028,19.344629390790875
1951-1960,21.066973213230046,16.560307434850586,0.0,14.05398958965322,18.925466019663155,22.25297638010104
1991-2000,18.54871831825957,12.284635568312716,14.05398958965322,0.0,15.991979236181567,19.353176935792565
2001-2010,20.20213378880103,15.99474009134028,18.925466019663155,15.991979236181567,0.0,20.150643835784912
2011-2018,22.04909154519576,19.344629390790875,22.25297638010104,19.353176935792565,20.150643835784912,0.0
