,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1931-1940,0.0,0.634,1.0,0.256,0.516,1.0
1941-1950,0.634,0.0,1.0,0.508,0.496,0.665
1951-1960,1.0,1.0,0.0,0.495,1.0,1.0
1991-2000,0.256,0.508,0.495,0.0,0.163,0.252
2001-2010,0.516,0.496,1.0,0.163,0.0,0.483
2011-2018,1.0,0.665,1.0,0.252,0.483,0.0
