timespan_1,timespan_2,distance,drift_magnitude,p_value
1951-1960,2001-2010,4,64.34936158901365,0.009
1951-1960,1971-1980,2,49.56656879534175,0.015
1931-1940,2001-2010,6,55.45573198570602,0.017
1941-1950,1951-1960,1,41.76639972604674,0.019
1951-1960,1981-1990,3,41.68839472457413,0.041
