event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1911-1920,1921-1930,7.845031870171248,0.044,1,1921-1930,consecutive
1,1921-1930,1981-1990,8.20740522620703,0.0,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
2,1921-1930,1991-2000,7.338861117307473,0.0,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
3,1921-1930,2001-2010,7.040619415974509,0.0,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
4,1921-1930,2011-2018,7.1195989376197275,0.009,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
5,1941-1950,1981-1990,7.4861151664411185,0.015,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
6,1941-1950,1991-2000,6.773090466362458,0.0,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
7,1941-1950,2001-2010,7.1375682979966255,0.0,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1941-1950,2011-2018,7.0096369393535465,0.004,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
9,1951-1960,1981-1990,8.011012264708052,0.029,3,"1961-1970,1971-1980,1981-1990",sudden_shift
10,1951-1960,1991-2000,6.905369988794843,0.026,4,"1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
11,1951-1960,2001-2010,7.391658790072426,0.005,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
12,1951-1960,2011-2018,7.665591411666286,0.025,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
13,1961-1970,2001-2010,7.252053136632348,0.034,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
