,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.668,0.657,0.405,0.506,0.385,0.202,0.34,1.0,0.316,0.671
1921-1930,0.668,0.0,0.664,0.279,0.698,0.149,0.066,0.69,1.0,0.342,0.678
1931-1940,0.657,0.664,0.0,0.274,0.904,0.466,0.19,0.317,1.0,0.345,0.68
1941-1950,0.405,0.279,0.274,0.0,0.091,0.716,0.835,0.066,0.812,0.42,0.329
1951-1960,0.506,0.698,0.904,0.091,0.0,0.093,0.066,0.506,0.498,0.581,0.604
1961-1970,0.385,0.149,0.466,0.716,0.093,0.0,0.782,0.069,0.808,0.478,0.747
1971-1980,0.202,0.066,0.19,0.835,0.066,0.782,0.0,0.072,0.788,0.217,0.276
1981-1990,0.34,0.69,0.317,0.066,0.506,0.069,0.072,0.0,0.679,0.338,0.335
1991-2000,1.0,1.0,1.0,0.812,0.498,0.808,0.788,0.679,0.0,1.0,1.0
2001-2010,0.316,0.342,0.345,0.42,0.581,0.478,0.217,0.338,1.0,0.0,0.64
2011-2018,0.671,0.678,0.68,0.329,0.604,0.747,0.276,0.335,1.0,0.64,0.0
