timespan_1,timespan_2,distance,drift_magnitude,p_value
1961-1970,2001-2010,4,6.225318872833338,0.002
1941-1950,1961-1970,2,7.580746931172863,0.003
1941-1950,1971-1980,3,7.964745322700452,0.006
1921-1930,1961-1970,4,6.453249171495813,0.008
1901-1910,1961-1970,6,7.511918902416555,0.009
1961-1970,2011-2018,5,6.502598102719952,0.012
1941-1950,1981-1990,4,7.333378209030624,0.014
1971-1980,2001-2010,3,6.238921114930371,0.017
1901-1910,1941-1950,4,10.735219639757808,0.018
1901-1910,1971-1980,7,7.272316228841502,0.023
1901-1910,1931-1940,3,7.937628111724206,0.033
1921-1930,1971-1980,5,6.375251471923809,0.034
1901-1910,2001-2010,10,7.979124074103669,0.036
1941-1950,2001-2010,6,7.362456771199174,0.04
1941-1950,2011-2018,7,8.351787323542748,0.043
