,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.259,0.633,0.36,0.561,0.376,0.185,0.299,0.214,0.256,0.24
1911-1920,0.259,0.0,0.137,0.732,0.183,0.217,0.035,0.57,0.163,0.188,0.108
1921-1930,0.633,0.137,0.0,0.13,0.179,0.02,0.151,0.665,0.132,0.128,0.087
1931-1940,0.36,0.732,0.13,0.0,0.064,0.183,0.015,0.457,0.507,0.326,0.301
1941-1950,0.561,0.183,0.179,0.064,0.0,0.221,0.45,0.79,0.203,0.158,0.268
1951-1960,0.376,0.217,0.02,0.183,0.221,0.0,0.072,0.186,0.083,0.553,0.859
1961-1970,0.185,0.035,0.151,0.015,0.45,0.072,0.0,0.814,0.678,0.11,0.157
1971-1980,0.299,0.57,0.665,0.457,0.79,0.186,0.814,0.0,0.813,0.105,0.407
1981-1990,0.214,0.163,0.132,0.507,0.203,0.083,0.678,0.813,0.0,0.153,0.17
2001-2010,0.256,0.188,0.128,0.326,0.158,0.553,0.11,0.105,0.153,0.0,0.385
2011-2018,0.24,0.108,0.087,0.301,0.268,0.859,0.157,0.407,0.17,0.385,0.0
