timespan_1,timespan_2,distance,drift_magnitude,p_value
1951-1960,1971-1980,2,7.779795695644707,0.007
1911-1920,1971-1980,6,7.377752602345776,0.011
1931-1940,1971-1980,4,7.0361609478514895,0.014
1901-1910,1911-1920,1,5.144943532753868,0.021
1901-1910,2001-2010,10,5.073372854718058,0.028
1951-1960,1981-1990,3,8.571056551104341,0.028
1971-1980,2001-2010,3,7.3190729957027925,0.029
1921-1930,1971-1980,5,7.7891608710783515,0.031
1931-1940,1981-1990,5,7.979261851675939,0.034
1901-1910,1931-1940,3,4.666457551605492,0.039
1941-1950,2001-2010,6,5.367581383209431,0.044
1931-1940,1941-1950,1,5.462401441117172,0.045
1901-1910,2011-2018,11,4.993561926545123,0.046
1911-1920,1951-1960,4,5.853002754276798,0.049
1971-1980,1981-1990,1,9.506476181565995,0.049
